ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,81.8,82,81.2,81.5,-1,1394
 95/01/03,81.5,84.8,81.2,84.5,3,5084
 95/01/04,84.7,85,82.2,82.6,-1.9,4987
 95/01/05,82.7,83.4,81.8,82.6,0,3899
 95/01/06,82.4,82.4,79.9,80.1,-2.5,5361
 95/01/09,80,80,77.2,77.5,-2.6,7912
 95/01/10,76.6,77,74.3,74.6,-2.9,9250
 95/01/11,74.7,75.8,74.3,74.9,0.3,7867
 95/01/12,75.1,75.6,74.5,74.9,0,6717
 95/01/13,75.2,77.7,75.2,76.2,1.3,8887
 95/01/16,76.3,78.8,76.3,78,1.8,5961
 95/01/17,78.3,79.6,78.3,79.2,1.2,4524
 95/01/18,78.2,78.4,77,77.8,-1.4,3911
 95/01/19,78.2,79.1,76.6,77.6,-0.2,3588
 95/01/20,78.2,78.4,76.1,76.5,-1.1,2941
 95/01/23,75.9,76.1,75,75,-1.5,2537
 95/01/24,75,75.6,74.7,75.2,0.2,2879
 95/01/25,75.5,75.6,72.8,73,-2.2,5727
 95/02/03,70,72.9,69.4,69.4,-3.6,7609
 95/02/06,69.4,70,69,70,0.6,4651
 95/02/07,70.5,71.5,69.9,70.8,0.8,8447
 95/02/08,70.5,70.6,69.7,70,-0.8,4160
 95/02/09,70.6,70.7,69.5,69.5,-0.5,5866
 95/02/10,69.9,70.8,69.5,70.5,1,5088
 95/02/13,70.9,72.8,70.9,72,1.5,7238
 95/02/14,72,73,71,73,1,4374
 95/02/15,73.5,75.9,73.3,75.7,2.7,10509
 95/02/16,76.3,78.7,75.9,78,2.3,7448
 95/02/17,78.2,79.6,76.5,77.9,-0.1,6894
 95/02/20,76.6,77.8,73.7,74.3,-3.6,7321
 95/02/21,73.5,74.3,72.3,73,-1.3,6600
 95/02/22,73,74.4,70.5,71.9,-1.1,6751
 95/02/23,71.7,71.9,70,70.6,-1.3,4657
 95/02/24,72.5,72.5,70,70.5,-0.1,5541
 95/02/27,71,72.1,70.5,72,1.5,3278
 95/03/01,71,76,71,75,3,7498
 95/03/02,76.5,76.7,73.4,73.5,-1.5,4485
 95/03/03,73.5,74.4,72,72,-1.5,4396
 95/03/06,72.5,73.4,72.1,73.1,1.1,3926
 95/03/07,73.1,74.4,72.3,72.3,-0.8,6000
 95/03/08,72.3,73.3,71.3,71.3,-1,4403
 95/03/09,71.3,71.9,70.9,71,-0.3,3781
 95/03/10,71.8,72,71,71,0,4283
 95/03/13,71.9,72.8,71.4,72.5,1.5,3164
 95/03/14,72.5,73.1,71.1,72.2,-0.3,3096
 95/03/15,73,73,71.6,71.8,-0.4,2992
 95/03/16,71.7,73.3,71.4,71.4,-0.4,4050
 95/03/17,71.4,71.5,70.7,71.1,-0.3,2568
 95/03/20,71.1,71.8,70.2,70.2,-0.9,3420
 95/03/21,70.3,71.2,70,70,-0.2,3203
 95/03/22,69.6,69.7,68.4,68.5,-1.5,4418
 95/03/23,68,68.5,64.3,64.5,-4,9701
 95/03/24,64.5,65,64.1,64.5,0,7369
 95/03/27,64.5,65.2,62.9,64.5,0,3726
 95/03/28,64.5,66.5,64.3,66,1.5,4395
 95/03/29,65.8,66.7,65.2,65.5,-0.5,3861
 95/03/30,65.5,66,61,61.5,-4,19854
 95/03/31,60.1,61.1,58.7,59.7,-1.8,17583
 95/04/03,59.7,60.5,59.3,59.7,0,9978
 95/04/04,59.8,60.5,59.7,59.8,0.1,9435
 95/04/06,60.3,61.1,60.2,60.9,1.1,12199
 95/04/07,60.9,62.2,60.5,61.5,0.6,9505
 95/04/10,61.4,62.5,61.2,62,0.5,5346
 95/04/11,62.4,62.4,61.6,62.1,0.1,3123
 95/04/12,61.7,62.1,61.3,61.8,-0.3,3190
 95/04/13,62.2,63.3,62.1,62.9,1.1,5379
 95/04/14,63.3,63.4,62.3,62.6,-0.3,3659
 95/04/17,63,63.3,62.6,62.8,0.2,3240
 95/04/18,63,63.1,61.4,61.7,-1.1,3952
 95/04/19,62.5,62.5,60.2,60.3,-1.4,6645
 95/04/20,60.3,61.1,60.2,60.5,0.2,5176
 95/04/21,61,62.5,60.9,61.4,0.9,6243
 95/04/24,61.2,61.6,60.7,60.7,-0.7,3361
 95/04/25,60.7,61.1,59.2,59.6,-1.1,5485
 95/04/26,59.8,60.5,59.5,59.9,0.3,4711
 95/04/27,60.6,60.8,59.5,59.5,-0.4,3477
 95/04/28,59.6,62.1,59.6,61.8,2.3,8064
 95/05/02,63.5,63.7,61.6,61.7,-0.1,8477
 95/05/03,62.3,62.6,61.8,61.9,0.2,4092
 95/05/04,62.9,64.4,62.7,63.2,1.3,9075
 95/05/05,63.9,63.9,62.4,62.4,-0.8,5947
 95/05/08,63,63.4,62.5,62.9,0.5,4525
 95/05/09,63.1,63.5,61.8,61.9,-1,4839
 95/05/10,61,61,57.6,57.8,-4.1,19592
 95/05/11,56.1,57.6,56,57.1,-0.7,6145
 95/05/12,56,57,56,56.5,-0.6,3534
 95/05/15,56.4,56.4,54.4,55.5,-1,5768
 95/05/16,55.8,55.8,54.8,54.8,-0.7,3129
 95/05/17,55,55.6,53.8,54,-0.8,4593
 95/05/18,53.1,53.5,51.7,52.1,-1.9,5994
 95/05/19,52.1,53.3,52.1,52.3,0.2,4974
 95/05/22,53,53.7,51.4,52,-0.3,5806
 95/05/23,51,51.5,50.1,50.8,-1.2,4801
 95/05/24,51,51.8,50.5,51,0.2,4778
 95/05/25,51.5,53.3,51.2,53.1,2.1,7879
 95/05/26,54.2,54.3,53.1,53.3,0.2,7244
 95/05/29,53.7,53.9,52.5,53.4,0.1,3080
 95/05/30,53.5,53.6,52.4,52.4,-1,2731
 95/06/01,53.8,53.8,53,53.2,0.8,2659
 95/06/02,53.9,53.9,52,53,-0.2,3066
 95/06/05,53.1,53.6,51,51,-2,4445
 95/06/06,51.1,52.3,51,52.3,1.3,3020
 95/06/07,52.5,52.5,51.5,51.6,-0.7,2264
 95/06/08,51.6,53,51,51.2,-0.4,7383
 95/06/09,52,53,51.2,53,1.8,4713
 95/06/12,53,53.4,51.4,53.4,0.4,3400
 95/06/13,52.5,53,52,52.2,-1.2,2457
 95/06/14,52.2,53.3,52,53.2,1,2766
 95/06/15,53.5,54.1,51.6,51.8,-1.4,4123
 95/06/16,52.9,53.4,52.6,52.9,1.1,3154
 95/06/19,52.9,54.9,52.9,54.8,1.9,4580
 95/06/20,54.6,54.9,51.2,51.8,-3,5553
 95/06/21,51.8,52.7,51.6,52.1,0.3,2678
 95/06/22,53.2,54.1,52.7,54.1,2,3295
 95/06/23,53.6,54.3,52.9,54,-0.1,2879
 95/06/26,54,54.7,53.3,54.7,0.7,3024
 95/06/27,55,57.3,54.7,56,1.3,5677
 95/06/28,55.2,56.5,55.1,56.5,0.5,2701
 95/06/29,57,57.9,57,57.8,1.3,4814
 95/06/30,58.5,58.6,56.8,56.9,-0.9,4613
 95/07/03,56.9,56.9,55.3,55.4,-1.5,3849
 95/07/04,56,56.7,55.6,56,0.6,2335
 95/07/05,56,56,54,54.5,-1.5,4829
 95/07/06,54.2,58.3,53.8,58.3,3.8,3387
 95/07/07,56.9,57.2,56.4,56.4,-1.9,3327
 95/07/10,56,56,54,54.3,-2.1,5215
 95/07/11,53.7,54.3,52,52.3,-2,9233
 95/07/12,52.3,53.2,52.3,52.8,0.5,4015
 95/07/13,51.5,52.1,51.3,51.6,-1.2,5159
 95/07/14,50.8,51.1,49.7,49.8,-1.8,7585
 95/07/17,49.5,49.8,46.5,47.05,-2.75,5911
 95/07/18,47.15,47.7,46.95,47,-0.05,3973
 95/07/19,47,47.65,45.8,45.9,-1.1,5424
 95/07/20,47,47.4,46.5,47.2,1.3,4247
 95/07/21,47.1,47.25,46.6,47,-0.2,3319
 95/07/24,46,46.2,45.2,45.45,-1.55,4752
 95/07/25,45.8,46.3,45.65,45.65,0.2,2428
 95/07/26,45.75,45.95,45,45.2,-0.45,3393
 95/07/27,45.5,46.3,45.3,46.2,1,3119
 95/07/28,46.2,46.5,45.8,46,-0.2,2929
 95/07/31,46.05,46.35,45.5,45.75,-0.25,2362
 95/08/01,45.75,46.15,45.6,45.65,-0.1,1879
 95/08/02,45.6,46.05,45.55,46,0.35,5726
 95/08/03,42.9,42.9,42.15,42.2,X0.00,5181
 95/08/04,42.3,42.5,41.25,41.5,-0.7,3723
 95/08/07,41.5,42.1,41.2,41.3,-0.2,2824
 95/08/08,42,42.35,41.6,42.35,1.05,2224
 95/08/09,42.35,43.5,42.1,43.5,1.15,3537
 95/08/10,43.5,45.2,43.5,44.65,1.15,5976
 95/08/11,45.45,46.5,44.8,45.65,1,6001
 95/08/14,45.7,46.4,45.15,45.15,-0.5,3489
 95/08/15,45.15,46.3,45.1,46,0.85,2924
 95/08/16,47,47.2,46.4,46.45,0.45,3529
 95/08/17,46.9,47.45,46.6,47.3,0.85,3426
 95/08/18,47.3,47.9,46.8,47.1,-0.2,4237
 95/08/21,47.15,47.25,44.05,44.3,-2.8,4374
 95/08/22,44.2,44.9,42.6,43.2,-1.1,6513
 95/08/23,43.2,43.6,42.1,43.6,0.4,3345
 95/08/24,43.2,43.8,43,43.2,-0.4,1887
 95/08/25,43.5,43.8,42.8,42.8,-0.4,1776
 95/08/28,42.8,42.8,41.9,42.5,-0.3,2364
 95/08/29,43,44.6,42.5,44.4,1.9,5177
 95/08/30,45.4,47.5,45.2,47.5,3.1,8849
 95/08/31,50.8,50.8,50.1,50.8,3.3,9302
 95/09/01,51.3,53.5,51.3,53.5,2.7,16269
 95/09/04,53.5,53.9,52.8,53.4,-0.1,6641
 95/09/05,53.5,53.6,52.8,53.4,0,5628
 95/09/06,53.3,53.3,52.1,52.7,-0.7,4457
 95/09/07,52.2,52.6,51.5,52.3,-0.4,4296
 95/09/08,51.7,54.4,51.6,53.7,1.4,8394
 95/09/11,53.7,54.4,53.5,54.1,0.4,5508
 95/09/12,54.1,55.5,53.7,55.1,1,9514
 95/09/13,56,57,55.6,57,1.9,9713
 95/09/14,57,57,53.6,54,-3,7464
 95/09/15,54,55.9,54,55.9,1.9,5894
 95/09/18,57,57.9,56.9,57.5,1.6,7639
 95/09/19,57.6,57.6,56.5,57.5,0,4847
 95/09/20,57,57.3,56.7,56.9,-0.6,3013
 95/09/21,57.1,57.2,55.9,56.5,-0.4,3571
 95/09/22,56.1,56.3,54.8,55.1,-1.4,4121
 95/09/25,54.5,54.8,53.8,54.6,-0.5,3814
 95/09/26,54.9,55.7,54.3,54.6,0,3269
 95/09/27,55.2,55.4,54.5,54.6,0,3870
 95/09/28,55,55.5,54.6,55.4,0.8,3268
 95/09/29,55.7,56.1,55.1,56.1,0.7,3276
 95/10/02,56.8,57.8,56.5,57.8,1.7,5683
 95/10/03,57.4,57.6,57.1,57.4,-0.4,2446
 95/10/04,57.4,57.5,55.2,55.6,-1.8,3329
 95/10/05,56,56.5,54.7,55.6,0,4347
 95/10/11,56,59.4,56,57.3,1.7,8280
 95/10/12,58.1,58.5,56.9,57.6,0.3,4585
 95/10/13,58.4,59.5,57.9,58.4,0.8,7048
 95/10/14,58.4,58.4,57.7,58,-0.4,1767
 95/10/16,58.2,59.3,57.7,58.4,0.4,3767
 95/10/17,58.3,58.3,57.6,58,-0.4,2587
 95/10/18,57.5,58.5,56.9,58.5,0.5,3218
 95/10/19,58.2,58.3,57.1,57.5,-1,2678
 95/10/20,57.2,57.5,56.5,56.7,-0.8,4098
 95/10/23,56.7,57.2,55.8,57.2,0.5,3297
 95/10/24,58,58.1,57.3,58,0.8,4133
 95/10/25,58,58.5,57.6,58.1,0.1,2732
 95/10/26,58.5,60.4,58.5,60.1,2,10443
 95/10/27,60.9,62.7,60.9,61.8,1.7,8922
 95/10/30,61.5,61.8,60.1,61,-0.8,5085
 95/10/31,61.1,61.3,60.1,60.3,-0.7,3497
 95/11/01,60.3,60.5,59.8,59.9,-0.4,3108
 95/11/02,59.5,60.8,59.2,60.3,0.4,3007
 95/11/03,60.2,61,59.9,60.3,0,2640
 95/11/06,58.1,60.3,58.1,59.9,-0.4,2872
 95/11/07,60.6,60.8,60.1,60.2,0.3,2047
 95/11/08,60.8,61,60.4,60.8,0.6,2659
 95/11/09,61.2,61.4,60.1,60.4,-0.4,2601
 95/11/10,60.4,60.8,60.3,60.3,-0.1,1960
 95/11/13,60,60.1,58.4,58.7,-1.6,4697
 95/11/14,58.8,59.6,58.8,59.4,0.7,2519
 95/11/15,59.9,60.4,59.5,59.6,0.2,2501
 95/11/16,59.8,60.7,59.7,60.2,0.6,4363
 95/11/17,60.8,61.8,60.8,61.5,1.3,6006
 95/11/20,61.5,61.7,60.8,60.8,-0.7,2624
 95/11/21,61.2,62.1,61.1,62,1.2,5767
 95/11/22,62.5,65.1,62.5,65,3,11982
 95/11/23,65.4,66.8,65.4,66.1,1.1,7942
 95/11/24,66.1,70.7,64.6,70.6,4.5,13455
 95/11/27,67.5,68.8,67,67.2,-3.4,9087
 95/11/28,66.1,66.8,64.6,64.7,-2.5,6616
 95/11/29,65.4,66.4,64.7,66,1.3,5646
 95/11/30,67.5,70.5,66.6,69.8,3.8,12523
 95/12/01,69.8,70.2,68.6,69,-0.8,5413
 95/12/04,69.2,69.2,68,68.8,-0.2,3374
 95/12/05,69.1,69.1,67.7,67.9,-0.9,3368
 95/12/06,68,69.7,68,69.2,1.3,3422
 95/12/07,68,68.8,67.2,67.5,-1.7,4180
 95/12/08,67,67,65.9,66.1,-1.4,5142
 95/12/11,66.1,67.3,66,66,-0.1,3665
 95/12/12,66.3,66.7,65,65.5,-0.5,3747
 95/12/13,65.7,66.3,65.2,65.7,0.2,2904
 95/12/14,65.9,66.7,65.5,65.9,0.2,2219
 95/12/15,66.3,66.7,66.2,66.3,0.4,1981
 95/12/18,66.2,66.6,65.7,66,-0.3,2103
 95/12/19,66,69,65.8,67.9,1.9,6714
 95/12/20,68,68.3,67.5,67.5,-0.4,2337
 95/12/21,67.2,68.3,67.2,67.7,0.2,2154
 95/12/22,67.8,68.3,67.5,67.6,-0.1,1226
 95/12/25,67.6,67.6,66.2,66.4,-1.2,2354
 95/12/26,66.5,67.5,66.5,67,0.6,1799
 95/12/27,67.3,68,67,67.1,0.1,1802
 95/12/28,67.9,68.3,67.6,68,0.9,3352
 95/12/29,68.3,68.8,68,68,0,3072
 96/01/02,68.2,69.2,68.2,68.6,0.6,2651
 96/01/03,68.7,69,68.1,68.3,-0.3,1899
 96/01/04,68.3,68.3,67.9,68,-0.3,2467
 96/01/05,68.3,69,67.9,68,0,2263
 96/01/08,67.7,67.8,66.3,66.3,-1.7,3318
 96/01/09,66.3,67,66,66.1,-0.2,4005
 96/01/10,65.5,66,65.2,65.6,-0.5,2914
 96/01/11,65.6,66.9,65.5,65.7,0.1,3388
 96/01/12,67,67.5,66.4,67.2,1.5,3685
 96/01/15,68,68,67,67.1,-0.1,2416
 96/01/16,66.4,66.7,62.5,62.5,-4.6,12117
 96/01/17,60.1,61.5,59.1,60.9,-1.6,10973
 96/01/18,61.6,61.8,60.5,60.8,-0.1,5823
 96/01/19,60.9,61.7,60.9,61.4,0.6,5261
 96/01/22,62.9,62.9,60.4,60.6,-0.8,7241
