ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,99.5,101,99,99.6,-1.4,2619
 95/01/03,99.1,104,98.2,102,2.4,5716
 95/01/04,103,108,101.5,106.5,4.5,9599
 95/01/05,106.5,107.5,105,107,0.5,5342
 95/01/06,108,108,104,105.5,-1.5,4348
 95/01/09,106.5,107,105,106.5,1,2593
 95/01/10,105.5,106,102.5,104.5,-2,3316
 95/01/11,105,107,103,106.5,2,4229
 95/01/12,106.5,110,106,106,-0.5,4197
 95/01/13,105,106,103.5,105,-1,2057
 95/01/16,105,108,104.5,106,1,3084
 95/01/17,107,109,106,107.5,1.5,4375
 95/01/18,103,105,100,101.5,-6,7964
 95/01/19,101.5,102.5,99,100,-1.5,5396
 95/01/20,102.5,103.5,101.5,103,3,4057
 95/01/23,101,101,99.8,100,-3,2064
 95/01/24,101,101.5,100,100,0,2547
 95/01/25,101,104.5,101,104.5,4.5,4763
 95/02/03,104.5,105.5,100,100.5,-4,5073
 95/02/06,100.5,102.5,99.5,102.5,2,3267
 95/02/07,102.5,103.5,101,101.5,-1,2258
 95/02/08,101.5,101.5,100,100,-1.5,1515
 95/02/09,101.5,101.5,99.8,101,1,2594
 95/02/10,101,101,98.9,99.6,-1.4,2749
 95/02/13,99,99.5,95.5,95.8,-3.8,4506
 95/02/14,95,96.3,95,96,0.2,5004
 95/02/15,96.5,97.3,96,96.3,0.3,3026
 95/02/16,97.3,98.4,96.8,97,0.7,2735
 95/02/17,99,99,96.6,97,0,2827
 95/02/20,96.7,97.9,96,97.7,0.7,2611
 95/02/21,97.9,98.2,96,96,-1.7,3069
 95/02/22,96,96.5,92.7,93,-3,5297
 95/02/23,93,93,90.1,92.9,-0.1,5737
 95/02/24,92,92.5,90.2,92.4,-0.5,5075
 95/02/27,91.8,92.2,90.7,92.1,-0.3,2781
 95/03/01,91.6,93.1,91,92.7,0.6,5915
 95/03/02,93.8,94.9,93.3,93.5,0.8,5395
 95/03/03,93.5,93.7,91.8,92.8,-0.7,3207
 95/03/06,93.5,93.5,92,92,-0.8,1781
 95/03/07,91.9,91.9,90.4,90.5,-1.5,4062
 95/03/08,90,91,87.9,90.1,-0.4,6562
 95/03/09,90.4,92.8,90.4,92.5,2.4,4560
 95/03/10,93.2,94.9,92.4,94,1.5,5930
 95/03/13,94.6,95.4,94.4,95.1,1.1,2880
 95/03/14,95,95,92.2,92.5,-2.6,3283
 95/03/15,92.5,93.7,92.1,92.1,-0.4,2359
 95/03/16,93,93.3,91.7,91.8,-0.3,2977
 95/03/17,91.5,92.3,91,92,0.2,2334
 95/03/20,92,93,91.9,92.6,0.6,2203
 95/03/21,93,95,93,93.6,1,3914
 95/03/22,94,94,92.4,92.5,-1.1,2998
 95/03/23,92,92.5,89.7,90.2,-2.3,4951
 95/03/24,90,90,88.7,89.2,-1,3126
 95/03/27,89.2,90,88.8,89.9,0.7,2746
 95/03/28,89.6,90.2,89.1,89.7,-0.2,2248
 95/03/29,90.2,90.2,89.2,90.2,0.5,2319
 95/03/30,90.2,91,89.6,90.3,0.1,2841
 95/03/31,89,90.2,87.5,88,-2.3,9505
 95/04/03,87.8,88.2,86.9,88,0,6534
 95/04/04,88.5,89.7,88.5,89,1,4783
 95/04/06,90,92.6,90,92.6,3.6,8232
 95/04/07,92,92,90.9,91.3,-1.3,5703
 95/04/10,90.3,91,89.8,89.9,-1.4,2972
 95/04/11,89.9,90.3,87.8,88.4,-1.5,5543
 95/04/12,87.1,88,85.5,87.6,-0.8,9406
 95/04/13,87.6,89,86.7,87.9,0.3,7722
 95/04/14,87.9,89.2,87.4,89.2,1.3,5378
 95/04/17,90,90.2,89.2,90,0.8,5182
 95/04/18,90,90,88.6,89.4,-0.6,3338
 95/04/19,90,91,89.9,90.2,0.8,4911
 95/04/20,90.4,90.8,89.8,90.3,0.1,3751
 95/04/21,90.3,92.9,90.3,92,1.7,9082
 95/04/24,91.8,91.9,91,91.1,-0.9,3002
 95/04/25,91.1,91.4,89.8,90,-1.1,4105
 95/04/26,89.5,90.6,89.1,90.4,0.4,3412
 95/04/27,90.4,90.5,89.5,89.5,-0.9,3013
 95/04/28,89.5,89.6,87.7,88.3,-1.2,5953
 95/05/02,87.9,88.5,87,88,-0.3,3220
 95/05/03,86.7,87.8,86.7,87,-1,5548
 95/05/04,86.4,87.9,86,86.8,-0.2,5990
 95/05/05,87.7,89.2,87.2,88.6,1.8,6942
 95/05/08,89,89.2,88.4,88.8,0.2,3164
 95/05/09,88.3,88.5,88,88.1,-0.7,2611
 95/05/10,88,88,86.5,86.9,-1.2,4095
 95/05/11,86.8,87,86.2,87,0.1,2939
 95/05/12,86.2,86.8,86,86.1,-0.9,2889
 95/05/15,85.6,85.7,85,85.3,-0.8,3512
 95/05/16,85.3,85.3,79.4,80,-5.3,14730
 95/05/17,80,80.8,79.4,79.4,-0.6,5126
 95/05/18,78.1,78.1,73.9,74.1,-5.3,15571
 95/05/19,74.1,75.4,74.1,74.6,0.5,6468
 95/05/22,74.9,75.4,71.5,72,-2.6,9813
 95/05/23,71.5,72.1,70.3,71,-1,5479
 95/05/24,72,75.9,72,75.4,4.4,9519
 95/05/25,76,76.8,75.5,76,0.6,6519
 95/05/26,77,78.3,77,77,1,6244
 95/05/29,77.3,77.8,75.5,75.5,-1.5,3496
 95/05/30,76,76.9,75.6,75.7,0.2,2836
 95/06/01,77,77.7,76,76.3,0.6,3996
 95/06/02,77.5,77.6,75.7,75.8,-0.5,3421
 95/06/05,75.5,75.7,72.9,73,-2.8,4086
 95/06/06,72.5,74.2,71.4,73,0,5214
 95/06/07,73,73,70.8,70.8,-2.2,5085
 95/06/08,70.3,71.6,69,69,-1.8,6467
 95/06/09,69.6,69.6,67.5,68.5,-0.5,7314
 95/06/12,68.7,71.3,68.5,71.1,2.6,3937
 95/06/13,70.5,73.2,70.1,71,-0.1,5417
 95/06/14,73.1,75,72.4,74.7,3.7,6005
 95/06/15,75.5,75.8,73.7,73.7,-1,5002
 95/06/16,76,76.1,73.9,75,1.3,4112
 95/06/19,75.8,76,75,76,1,2963
 95/06/20,76.3,76.3,72.1,73.5,-2.5,3736
 95/06/21,73.5,74.7,72.9,73.8,0.3,2541
 95/06/22,75,76.6,74.9,76.2,2.4,3940
 95/06/23,76.2,76.2,74.7,75.6,-0.6,2560
 95/06/26,75.4,76.4,75.3,76.1,0.5,2152
 95/06/27,76.5,77.5,76.1,76.2,0.1,2694
 95/06/28,75.5,76.9,75.5,76.4,0.2,1903
 95/06/29,77.2,77.4,76.5,77.1,0.7,2107
 95/06/30,78.4,79.8,78,79.5,2.4,5840
 95/07/03,79.8,81.1,79.8,80.8,1.3,4420
 95/07/04,81.2,81.4,80,80.1,-0.7,3092
 95/07/05,80.9,80.9,78.5,78.5,-1.6,2843
 95/07/06,78,78.8,77.6,78.7,0.2,2347
 95/07/07,78.8,79.1,78.1,78.7,0,1440
 95/07/10,78.6,79.5,77.4,79,0.3,1968
 95/07/11,79.5,81.5,79.3,80,1,3969
 95/07/12,80,80.9,78.1,78.7,-1.3,2834
 95/07/13,78.7,78.7,77.5,77.5,-1.2,2796
 95/07/14,76.1,76.6,75.2,75.6,-1.9,3691
 95/07/17,75,75.6,73.6,74.4,-1.2,2838
 95/07/18,74,74.8,73.7,74,-0.4,2651
 95/07/19,74.5,75.7,74.5,75,1,3154
 95/07/20,78,79,77,78,3,5768
 95/07/21,77.5,77.5,75.7,76.3,-1.7,4170
 95/07/24,73.2,74,72.6,73.4,-2.9,4721
 95/07/25,74.5,75.1,73.8,74,0.6,2644
 95/07/26,74.5,74.5,73.5,73.6,-0.4,2259
 95/07/27,73.5,74.5,73.2,74.2,0.6,2165
 95/07/28,74.2,74.8,73.4,73.6,-0.6,3057
 95/07/31,74.5,75,72.5,73.6,0,4755
 95/08/01,73.6,74.1,73.5,73.5,-0.1,2169
 95/08/02,73.5,74.8,73.3,74.3,0.8,2537
 95/08/03,74.6,75,74.1,74.2,-0.1,2624
 95/08/04,74.5,75.3,73.8,74.1,-0.1,3403
 95/08/07,73.7,74,73.2,73.2,-0.9,2315
 95/08/08,73.3,74.2,73.3,74.2,1,1582
 95/08/09,74.6,75.9,74.1,75.7,1.5,4347
 95/08/10,75.8,77.4,75.6,75.8,0.1,5229
 95/08/11,76.8,77.7,76.2,76.8,1,5328
 95/08/14,77.4,78.3,77.3,78,1.2,4378
 95/08/15,78,78,76.9,77.3,-0.7,2390
 95/08/16,77.6,78.3,77.5,77.9,0.6,3896
 95/08/17,79,80.9,78.5,80,2.1,8540
 95/08/18,80.3,80.6,79,79.8,-0.2,8462
 95/08/21,71.9,71.9,68,68.6,X0.00,15163
 95/08/22,68.7,70.3,68.7,70.1,1.5,5262
 95/08/23,70.1,70.1,68.5,69.5,-0.6,5051
 95/08/24,69.5,69.6,68.9,69,-0.5,3598
 95/08/25,69.2,69.8,68.8,68.8,-0.2,1855
 95/08/28,68.4,69.4,68.1,68.9,0.1,3292
 95/08/29,69.5,71.4,69.3,71,2.1,5513
 95/08/30,72,75.1,71.5,73.8,2.8,11058
 95/08/31,75,75.8,73.8,73.8,0,7661
 95/09/01,75.5,77.4,75.2,77.1,3.3,10952
 95/09/04,77.5,78.9,77.4,78,0.9,5962
 95/09/05,78.3,78.4,75.8,76.3,-1.7,5076
 95/09/06,76.2,76.4,75,75,-1.3,3678
 95/09/07,74,76.2,74,75.6,0.6,4200
 95/09/08,75.4,76.6,74.8,75,-0.6,2602
 95/09/11,76,78,76,76.8,1.8,5508
 95/09/12,77.5,77.8,76,77.6,0.8,4010
 95/09/13,77.7,78,76.9,77.6,0,2904
 95/09/14,77.9,78,75.2,76.5,-1.1,4163
 95/09/15,75.6,77,75.6,77,0.5,1799
 95/09/18,78,78.8,77.6,78.5,1.5,4517
 95/09/19,78.7,79,78,78.2,-0.3,2845
 95/09/20,77.6,78.2,76.9,77.1,-1.1,2601
 95/09/21,77.5,77.6,76.3,76.6,-0.5,3368
 95/09/22,76.6,76.6,76,76.6,0,2661
 95/09/25,76,76.6,75.6,76.5,-0.1,2873
 95/09/26,77,77.8,77,77.5,1,3658
 95/09/27,78,78.2,77.7,78,0.5,3751
 95/09/28,78,79,78,78.6,0.6,5783
 95/09/29,78.6,78.6,77.7,77.7,-0.9,2643
 95/10/02,78.1,78.3,77,78,0.3,2231
 95/10/03,77.9,77.9,76.8,77,-1,3353
 95/10/04,78,78,74.9,75,-2,9030
 95/10/05,75.2,76,73.6,74.7,-0.3,7692
 95/10/11,74.7,76.5,74.7,74.9,0.2,5724
 95/10/12,75,75.9,74.8,75.2,0.3,3500
 95/10/13,76,76.1,75.3,75.6,0.4,3112
 95/10/14,76,76.4,75.6,75.7,0.1,1904
 95/10/16,76,76.7,75.8,76.7,1,3888
 95/10/17,77,77,75.7,75.7,-1,2180
 95/10/18,75.5,76,74.5,76,0.3,3685
 95/10/19,75.9,76.3,75.4,75.5,-0.5,2362
 95/10/20,75.9,75.9,75,75,-0.5,3655
 95/10/23,75,75.8,74.6,75,0,1888
 95/10/24,75.9,76.3,75.3,75.5,0.5,2887
 95/10/25,75.9,76.3,75.2,75.2,-0.3,2512
 95/10/26,76,77.1,75.6,76.6,1.4,5118
 95/10/27,80,81.9,79.2,81.5,4.9,17335
 95/10/30,81.8,82.8,81.4,82.4,0.9,11305
 95/10/31,82.4,82.5,80.4,80.8,-1.6,6174
 95/11/01,81,82,81,81.9,1.1,4699
 95/11/02,81.5,82.4,81.4,82,0.1,4293
 95/11/03,82,83.7,81.8,82.5,0.5,6673
 95/11/06,81.5,82.3,81.2,82,-0.5,4555
 95/11/07,82.7,83,81.7,82.1,0.1,3247
 95/11/08,82,82.2,81.1,81.4,-0.7,3023
 95/11/09,81.4,82,80.6,80.6,-0.8,3839
 95/11/10,80.8,81.3,79.7,80.6,0,3993
 95/11/13,80.7,81,79.6,79.6,-1,2710
 95/11/14,79.8,81.7,79.8,81.5,1.9,5062
 95/11/15,82,82.2,80.9,81,-0.5,3186
