ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,48.9,50.8,48.3,49.4,0.4,21251
 95/01/03,49.4,50.4,48.75,50,0.6,13689
 95/01/04,50.6,51.2,47.05,48,-2,20691
 95/01/05,48,48.5,47,47.65,-0.35,15798
 95/01/06,47.65,48.4,46.7,47.65,0,14434
 95/01/09,48.6,49.1,48.15,49,1.35,12321
 95/01/10,49,49.2,47.85,48,-1,11247
 95/01/11,48.3,49.9,48,49.85,1.85,15011
 95/01/12,50,50.3,48.1,48.1,-1.75,14176
 95/01/13,48.2,48.6,47.5,47.5,-0.6,16042
 95/01/16,47.7,49.4,47.1,49.4,1.9,12037
 95/01/17,49.55,50.4,48.5,48.5,-0.9,13292
 95/01/18,47.5,48.4,47,47.3,-1.2,16642
 95/01/19,47.5,48.9,47.45,48.05,0.75,13344
 95/01/20,48.8,48.8,47.3,47.3,-0.75,11091
 95/01/23,46.65,47.05,45.3,45.55,-1.75,13585
 95/01/24,45.75,46.6,45.75,46.25,0.7,6841
 95/01/25,46.4,46.9,46.3,46.45,0.2,6876
 95/02/03,47.3,48.8,47.3,48.8,2.35,12499
 95/02/06,48.6,49.7,48.05,49.7,0.9,10028
 95/02/07,49.5,50.4,48.8,49,-0.7,10487
 95/02/08,49.1,49.7,48.4,48.5,-0.5,10031
 95/02/09,51.8,51.8,51.8,51.8,3.3,19337
 95/02/10,53.2,53.4,51.9,52,0.2,29429
 95/02/13,52.2,52.8,51.8,52.5,0.5,10311
 95/02/14,52,53.2,51.8,53.2,0.7,13706
 95/02/15,53.5,54.2,53.1,53.2,0,16248
 95/02/16,53.8,55.2,53.6,54.6,1.4,18823
 95/02/17,55.3,55.4,54.4,55,0.4,13474
 95/02/20,54.4,55.2,53.5,55.2,0.2,10677
 95/02/21,55.2,55.4,54.6,54.7,-0.5,8950
 95/02/22,54.6,54.7,51.3,52.9,-1.8,18108
 95/02/23,52.9,53.2,51.8,52.2,-0.7,12633
 95/02/24,52.2,53.2,51.9,53.1,0.9,11746
 95/02/27,52.8,54.3,52.4,53.1,0,12080
 95/03/01,52,54.3,52,54.3,1.2,14187
 95/03/02,54.8,54.9,53.6,53.6,-0.7,9964
