ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,595,634,593,634,18,5649
 95/01/03,634,654,627,633,-1,7503
 95/01/04,644,654,633,638,5,6637
 95/01/05,682,682,671,682,44,2708
 95/01/06,695,712,687,695,13,7520
 95/01/09,715,715,692,703,8,4261
 95/01/10,698,707,690,700,-3,3505
 95/01/11,678,685,662,665,-35,6769
 95/01/12,670,678,655,655,-10,4019
 95/01/13,660,672,658,659,4,4208
 95/01/16,663,685,662,685,26,3818
 95/01/17,690,716,690,693,8,5348
 95/01/18,685,688,645,653,-40,7665
 95/01/19,661,678,635,675,22,7785
 95/01/20,682,685,655,655,-20,4250
 95/01/23,635,643,622,630,-25,4890
 95/01/24,668,674,658,674,44,3557
 95/01/25,682,692,675,679,5,5176
 95/02/03,702,724,697,720,41,6850
 95/02/06,710,718,704,718,-2,3615
 95/02/07,713,735,700,700,-18,5273
 95/02/08,703,709,683,687,-13,4568
 95/02/09,697,698,667,667,-20,5402
 95/02/10,673,673,645,655,-12,5654
 95/02/13,648,671,646,660,5,4201
 95/02/14,660,706,660,700,40,6335
 95/02/15,703,719,691,691,-9,5502
 95/02/16,713,721,710,714,23,4723
 95/02/17,723,723,708,712,-2,3614
 95/02/20,710,725,706,720,8,3804
 95/02/21,730,735,716,716,-4,4393
 95/02/22,711,716,682,685,-31,4653
 95/02/23,685,685,660,680,-5,3937
 95/02/24,675,695,661,688,8,2461
 95/02/27,679,718,679,707,19,2733
 95/03/01,707,753,704,735,28,3328
 95/03/02,750,760,735,735,0,5577
 95/03/03,735,755,727,735,0,4799
 95/03/06,743,786,740,786,51,5387
 95/03/07,785,792,771,779,-7,5936
 95/03/08,779,785,761,782,3,5195
 95/03/09,785,785,766,769,-13,3565
 95/03/10,770,802,768,801,32,7386
 95/03/13,849,857,831,857,56,5999
 95/03/14,855,872,851,868,11,5055
 95/03/15,881,928,881,928,60,5696
 95/03/16,921,939,870,873,-55,7861
 95/03/17,860,895,855,895,22,6100
 95/03/20,905,937,896,900,5,5550
 95/03/21,920,926,850,862,-38,7286
 95/03/22,849,874,838,870,8,5488
 95/03/23,872,878,820,836,-34,6809
 95/03/24,816,842,778,778,-58,8214
 95/03/27,788,824,782,822,44,5549
 95/03/28,825,853,821,836,14,5732
 95/03/29,833,851,828,851,15,4118
 95/03/30,866,870,835,836,-15,4814
 95/03/31,846,888,846,888,52,6464
 95/04/03,908,915,898,907,19,4506
 95/04/04,923,929,883,891,-16,6182
 95/04/06,905,913,874,912,21,6170
 95/04/07,911,911,882,888,-24,4417
 95/04/10,895,917,895,915,27,4628
 95/04/11,902,907,890,906,-9,3376
 95/04/12,898,936,896,936,30,4402
 95/04/13,939,946,902,903,-33,5068
 95/04/14,907,927,906,920,17,3314
 95/04/17,922,927,905,906,-14,2821
 95/04/18,912,949,906,949,43,5552
 95/04/19,970,982,965,965,16,5642
 95/04/20,971,993,965,980,15,4131
 95/04/21,986,1000,971,993,13,4390
 95/04/24,987,1010,983,994,1,3070
 95/04/25,994,994,962,977,-17,3959
 95/04/26,985,1020,974,1005,28,3786
 95/04/27,1010,1015,982,994,-11,2644
 95/04/28,998,1025,994,1020,26,3685
 95/05/02,1090,1090,1075,1090,70,2004
 95/05/03,1135,1165,1130,1165,75,3560
 95/05/04,1195,1220,1175,1180,15,5406
 95/05/05,1195,1195,1140,1150,-30,3924
 95/05/08,1160,1170,1105,1170,20,4496
 95/05/09,1150,1170,1140,1145,-25,2855
 95/05/10,1160,1180,1130,1130,-15,3469
 95/05/11,1060,1160,1060,1160,30,5666
 95/05/12,1120,1145,1085,1085,-75,4155
 95/05/15,1065,1115,1065,1115,30,3271
 95/05/16,1130,1165,1120,1130,15,4129
 95/05/17,1160,1160,1115,1125,-5,2669
 95/05/18,1100,1140,1095,1120,-5,2535
 95/05/19,1130,1160,1130,1160,40,2522
 95/05/22,1175,1180,1080,1080,-80,3229
 95/05/23,1010,1030,1005,1005,-75,1958
 95/05/24,1020,1040,935,975,-30,10402
 95/05/25,985,994,950,990,15,4560
 95/05/26,1000,1010,921,921,-69,4447
 95/05/29,917,917,857,890,-31,8131
 95/05/30,899,952,898,952,62,4661
 95/06/01,963,1015,963,1005,53,5684
 95/06/02,1050,1075,1030,1040,35,4544
 95/06/05,970,982,968,968,-72,2969
 95/06/06,901,932,901,910,-58,6908
