ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,19.8,20,19.2,19.35,-0.65,1200
 95/01/03,19.65,19.9,19.35,19.7,0.35,1460
 95/01/04,19.95,20.25,19.8,19.85,0.15,2156
 95/01/05,19.9,21,19.9,20.9,1.05,3755
 95/01/06,21,21.2,20.3,20.3,-0.6,1810
 95/01/09,20.8,21.2,20.5,20.6,0.3,2476
 95/01/10,20.9,22,20.7,22,1.4,6090
 95/01/11,22,22.1,21.3,22,0,4460
 95/01/12,22,22.45,21.1,21.1,-0.9,2807
 95/01/13,21.4,21.45,20.5,20.6,-0.5,1755
 95/01/16,20.6,20.7,20.3,20.3,-0.3,1196
 95/01/17,20.4,20.8,20.3,20.4,0.1,1015
 95/01/18,20.1,20.2,19.1,19.3,-1.1,1594
 95/01/19,19.6,20.2,19.5,20.15,0.85,1632
 95/01/20,20.2,20.3,19.5,19.6,-0.55,925
 95/01/23,19,19.4,19,19,-0.6,840
 95/01/24,19.1,20,19.1,20,1,1046
 95/01/25,20.2,20.2,19.75,19.75,-0.25,855
 95/02/03,19.85,20.2,19.65,19.65,-0.1,610
 95/02/06,19.65,19.85,19.4,19.75,0.1,1004
 95/02/07,19.85,20.4,19.8,20,0.25,1402
 95/02/08,20.1,20.2,19.75,19.9,-0.1,680
 95/02/09,20.1,20.2,19.7,19.7,-0.2,803
 95/02/10,19.7,19.9,19.4,19.4,-0.3,768
 95/02/13,19.4,19.9,19.3,19.3,-0.1,839
 95/02/14,19.4,19.5,19.2,19.45,0.15,553
 95/02/15,19.4,19.85,19.4,19.65,0.2,1054
 95/02/16,20,20.35,19.9,20,0.35,2226
 95/02/17,20.35,20.5,20.1,20.1,0.1,1963
 95/02/20,20,20,19.6,19.65,-0.45,1030
 95/02/21,19.7,19.9,19.35,19.35,-0.3,829
 95/02/22,19.4,19.6,18.95,18.95,-0.4,1194
 95/02/23,18.95,19.1,18.5,18.5,-0.45,871
 95/02/24,18.5,18.9,18.35,18.9,0.4,800
 95/02/27,18.5,18.7,18.4,18.55,-0.35,591
 95/03/01,18.4,18.75,18.4,18.7,0.15,877
 95/03/02,18.95,19.1,18.75,18.8,0.1,882
 95/03/03,18.8,18.9,18.5,18.5,-0.3,623
 95/03/06,18.65,18.9,18.5,18.7,0.2,1015
 95/03/07,18.55,18.65,18.3,18.3,-0.4,727
 95/03/08,18.3,18.5,17.8,18,-0.3,1109
 95/03/09,18.15,18.15,17.9,17.95,-0.05,665
 95/03/10,18,18.1,17.9,18,0.05,723
 95/03/13,18.25,18.6,18.1,18.4,0.4,1563
 95/03/14,18.4,18.7,18.25,18.3,-0.1,1209
 95/03/15,18.5,18.5,17.95,18.05,-0.25,1114
 95/03/16,18.15,18.3,17.95,17.95,-0.1,1088
 95/03/17,17.9,17.95,17.5,17.65,-0.3,1135
 95/03/20,17.8,17.85,17.6,17.6,-0.05,735
 95/03/21,17.6,17.85,17.55,17.6,0,732
 95/03/22,17.4,17.9,17.2,17.55,-0.05,1362
 95/03/23,17.75,17.75,17.15,17.15,-0.4,935
 95/03/24,17.2,17.3,17,17.1,-0.05,789
 95/03/27,17.15,17.25,16.75,16.95,-0.15,726
 95/03/28,16.95,17.2,16.75,17,0.05,1146
 95/03/29,16.9,17.4,16.85,17.1,0.1,916
 95/03/30,17.3,17.3,17.05,17.25,0.15,772
 95/03/31,17.25,17.45,17.2,17.4,0.15,901
 95/04/03,17.4,17.55,17.3,17.5,0.1,709
 95/04/04,17.5,17.95,17.4,17.8,0.3,1636
 95/04/06,17.9,18.1,17.8,18.05,0.25,1117
 95/04/07,18.05,18.1,17.75,17.9,-0.15,781
 95/04/10,17.8,17.9,17.6,17.6,-0.3,753
 95/04/11,17.6,17.8,17.5,17.6,0,567
 95/04/12,17.55,17.8,17.5,17.6,0,862
 95/04/13,17.65,17.85,17.6,17.7,0.1,1147
 95/04/14,17.7,18.15,17.7,18.1,0.4,1650
 95/04/17,18.1,18.55,18,18.4,0.3,2100
 95/04/18,18.4,18.4,18.05,18.2,-0.2,1041
 95/04/19,18.5,18.65,18.2,18.2,0,1511
 95/04/20,18.4,18.5,18.2,18.25,0.05,1113
 95/04/21,18.3,18.7,18.3,18.35,0.1,1454
 95/04/24,18.3,18.35,17.85,17.95,-0.4,910
 95/04/25,17.95,18.2,17.8,17.85,-0.1,762
 95/04/26,17.85,18.35,17.85,18.35,0.5,1410
 95/04/27,18.35,18.35,17.8,17.8,-0.55,934
 95/04/28,17.9,18,17.8,17.85,0.05,614
 95/05/02,17.9,18.05,17.55,17.7,-0.15,784
 95/05/03,17.75,17.95,17.55,17.65,-0.05,969
 95/05/04,17.7,18.15,17.7,17.85,0.2,1165
 95/05/05,17.95,18.4,17.9,18.3,0.45,1863
 95/05/08,18.45,18.6,18.25,18.35,0.05,1225
 95/05/09,18.4,18.6,18.1,18.1,-0.25,1194
 95/05/10,18.2,18.5,18.05,18.2,0.1,1067
 95/05/11,18.3,18.35,18.1,18.1,-0.1,837
 95/05/12,18.05,18.2,17.8,17.8,-0.3,1013
 95/05/15,17.8,17.8,17.45,17.5,-0.3,1110
 95/05/16,17.5,17.7,17.3,17.35,-0.15,914
 95/05/17,17.35,17.55,17.3,17.4,0.05,764
 95/05/18,17.3,17.4,17.1,17.2,-0.2,637
 95/05/19,17.3,17.55,17.2,17.35,0.15,628
 95/05/22,17.5,18.5,17.5,18.3,0.95,2708
 95/05/23,18.9,19.5,18.3,18.9,0.6,6453
 95/05/24,19.5,19.5,18.1,18.5,-0.4,3174
 95/05/25,18.5,18.75,18.2,18.2,-0.3,1146
 95/05/26,18.5,18.6,17.65,17.65,-0.55,2132
 95/05/29,17.8,18.2,17.7,18.1,0.45,1452
 95/05/30,18.3,18.4,18.1,18.1,0,1260
 95/06/01,19.35,19.35,19.35,19.35,1.25,1464
 95/06/02,20.7,20.7,19.8,20.05,0.7,7569
 95/06/05,20.05,20.6,19.85,20.05,0,5383
 95/06/06,20.05,20.25,18.65,19.5,-0.55,3481
 95/06/07,19.4,19.4,18.6,18.6,-0.9,1985
 95/06/08,18.4,18.4,17.5,17.5,-1.1,2631
 95/06/09,17.75,17.75,16.75,17.5,0,2819
 95/06/12,17.05,17.4,16.9,17,-0.5,2289
 95/06/13,16.8,17.45,16.75,17.15,0.15,1958
 95/06/14,17.15,17.6,17.1,17.6,0.45,1614
 95/06/15,18.15,18.4,17.8,17.85,0.25,3049
 95/06/16,18.35,18.35,17.7,17.85,0,1793
 95/06/19,17.85,18.05,17.8,17.85,0,796
 95/06/20,17.95,18.2,17.3,17.8,-0.05,1585
 95/06/21,17.8,17.95,17.25,17.3,-0.5,1280
 95/06/22,17.5,18,17.5,17.85,0.55,1122
 95/06/23,17.55,17.8,17.3,17.45,-0.4,800
 95/06/26,17.6,18,17.55,17.8,0.35,1082
 95/06/27,17.8,18.3,17.8,17.95,0.15,1600
 95/06/28,17.8,18.25,17.75,18.1,0.15,1063
 95/06/29,18.3,18.4,18.15,18.2,0.1,1129
 95/06/30,18.5,18.7,18.3,18.4,0.2,1950
 95/07/03,18.6,18.75,18.3,18.55,0.15,878
 95/07/04,18.6,18.7,18.2,18.3,-0.25,1045
 95/07/05,18.15,18.3,17.85,17.9,-0.4,931
 95/07/06,17.7,18.4,17.65,18.1,0.2,1571
 95/07/07,18.1,18.2,17.9,17.9,-0.2,725
 95/07/10,18,18.1,17.8,18,0.1,587
 95/07/11,18.1,18.25,17.85,17.95,-0.05,874
 95/07/12,18.1,18.25,18,18,0.05,1007
 95/07/13,17.9,18,17.8,17.85,-0.15,427
 95/07/14,17.65,17.8,17.45,17.5,-0.35,989
 95/07/17,18,18.2,17.5,17.6,0.1,1696
