ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,5.18,5.31,5.12,5.12,-0.14,4768
 95/01/03,5.12,5.35,5.09,5.28,0.16,5156
 95/01/04,5.42,5.5,5.3,5.35,0.07,7070
 95/01/05,5.45,5.71,5.45,5.69,0.34,7399
 95/01/06,5.92,6.07,5.8,5.95,0.26,12365
 95/01/09,6,6.09,5.7,5.78,-0.17,8273
 95/01/10,5.78,5.78,5.38,5.38,-0.4,11030
 95/01/11,5.18,5.32,5.05,5.27,-0.11,8269
 95/01/12,5.3,5.63,5.3,5.53,0.26,8068
 95/01/13,5.53,5.63,5.35,5.53,0,6211
 95/01/16,5.53,5.57,5.4,5.41,-0.12,3537
 95/01/17,5.36,5.57,5.36,5.43,0.02,3726
 95/01/18,5.4,5.45,5.06,5.09,-0.34,6792
 95/01/19,5.2,5.25,4.95,5.08,-0.01,4900
 95/01/20,5.24,5.24,4.9,4.9,-0.18,4161
 95/01/23,4.67,4.8,4.56,4.56,-0.34,3913
 95/01/24,4.5,4.79,4.5,4.73,0.17,3712
 95/01/25,4.73,4.83,4.6,4.63,-0.1,2894
 95/02/03,4.8,4.8,4.65,4.74,0.11,2493
 95/02/06,4.79,4.9,4.65,4.9,0.16,3042
 95/02/07,4.89,5.07,4.81,4.97,0.07,4962
 95/02/08,5.08,5.3,4.99,5.18,0.21,7996
 95/02/09,5.27,5.29,5.02,5.04,-0.14,4399
 95/02/10,4.95,5.02,4.87,4.94,-0.1,4132
 95/02/13,4.9,5.1,4.9,4.94,0,2383
 95/02/14,4.9,4.99,4.81,4.84,-0.1,3298
 95/02/15,4.9,4.92,4.72,4.73,-0.11,2935
 95/02/16,4.78,4.87,4.78,4.79,0.06,2373
 95/02/17,4.82,4.85,4.7,4.72,-0.07,2524
 95/02/20,4.68,4.72,4.6,4.6,-0.12,2917
 95/02/21,4.62,4.67,4.6,4.6,0,2103
 95/02/22,4.6,4.64,4.32,4.36,-0.24,3627
 95/02/23,4.36,4.49,4.36,4.39,0.03,2084
 95/02/24,4.4,4.46,4.26,4.3,-0.09,2599
