ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,37.9,38.2,37.4,37.7,-0.7,1730
 95/01/03,37.7,39.2,37.6,39,1.3,4135
 95/01/04,39.2,39.9,38.3,38.45,-0.55,3247
 95/01/05,38.6,41.1,38.4,41.1,2.65,8250
 95/01/06,41.65,43.95,41.65,43.95,2.85,12840
 95/01/09,45.45,45.5,43.4,43.7,-0.25,6403
 95/01/10,43.7,45.9,42.8,45,1.3,7933
 95/01/11,45.5,46.2,44.5,45.5,0.5,5762
 95/01/12,46,46.3,42.5,42.6,-2.9,5478
 95/01/13,42.55,43,41.3,41.85,-0.75,2782
 95/01/16,41.6,43.35,41.6,42.9,1.05,3070
 95/01/17,43,43.25,41.8,41.9,-1,2437
 95/01/18,41.6,41.7,39.8,40,-1.9,2887
 95/01/19,40.2,40.6,38.5,39.15,-0.85,2589
 95/01/20,39.3,39.7,38.6,38.9,-0.25,1364
 95/01/23,38.1,38.5,37.2,37.35,-1.55,1557
 95/01/24,37.5,38.6,37.5,38.25,0.9,1301
 95/01/25,38.4,38.45,37.65,38.1,-0.15,1168
 95/02/03,38.8,38.8,37.3,37.8,-0.3,1467
 95/02/06,37.8,38.5,37.05,38.5,0.7,1599
 95/02/07,38.4,39.45,38.1,39.05,0.55,2130
 95/02/08,38.95,38.95,38.1,38.1,-0.95,1119
 95/02/09,38.9,39.7,38.4,38.95,0.85,2233
 95/02/10,39.1,39.25,38.05,38.3,-0.65,1145
 95/02/13,38.35,38.5,38,38,-0.3,677
 95/02/14,38,39.05,38,38.7,0.7,1323
 95/02/15,38.8,39.3,38.5,38.5,-0.2,1397
 95/02/16,38.9,39.4,38.7,39.25,0.75,1495
 95/02/17,39.7,39.7,38.3,38.5,-0.75,1312
 95/02/20,38.5,39.5,38.3,39.1,0.6,1233
 95/02/21,39.15,40.3,39.1,39.2,0.1,2983
 95/02/22,39.5,39.6,38.1,39,-0.2,1885
 95/02/23,38.6,38.6,36.3,36.3,-2.7,2959
 95/02/24,36.3,36.8,35.1,36.3,0,2114
 95/02/27,35.1,36.15,35.1,35.9,-0.4,839
 95/03/01,35.3,36.75,35.3,36.4,0.5,2021
 95/03/02,36.6,37.1,36.4,36.5,0.1,1535
 95/03/03,36.5,36.9,35.6,35.65,-0.85,1062
 95/03/06,35.65,36.4,35.65,36.05,0.4,777
 95/03/07,36,36.7,35.8,36,-0.05,1163
 95/03/08,36,36.3,35.5,35.6,-0.4,925
 95/03/09,35.6,36.2,35.6,35.65,0.05,994
 95/03/10,36,36.1,35.65,35.85,0.2,747
 95/03/13,36.3,36.65,36.2,36.5,0.65,1218
 95/03/14,36.5,36.6,35.6,35.8,-0.7,1061
 95/03/15,36.1,37.15,35.8,36.7,0.9,1752
 95/03/16,37,37.35,36.1,36.15,-0.55,1514
 95/03/17,36.3,36.4,35.9,36.2,0.05,770
 95/03/20,36.2,37.8,36.2,37.45,1.25,2414
 95/03/21,37.5,37.9,36.55,36.6,-0.85,1617
 95/03/22,36.2,36.5,35.7,35.8,-0.8,1206
 95/03/23,35.6,36.15,35.35,35.6,-0.2,976
 95/03/24,35.7,36.1,35.5,35.95,0.35,566
 95/03/27,36.1,36.25,36.1,36.1,0.15,764
 95/03/28,36.1,36.2,35.75,35.85,-0.25,681
 95/03/29,35.95,36.1,35.8,35.9,0.05,933
 95/03/30,36.2,36.55,36,36.1,0.2,1102
 95/03/31,36.3,36.85,36.3,36.3,0.2,1245
 95/04/03,36.65,37.7,36.65,37.35,1.05,2148
 95/04/04,37.55,37.65,37.15,37.2,-0.15,1047
 95/04/06,37.4,38.2,37.1,37.75,0.55,1600
 95/04/07,37.7,37.8,37.4,37.5,-0.25,792
 95/04/10,37.6,38,37.35,37.45,-0.05,1181
 95/04/11,37.4,37.4,36,36.5,-0.95,1574
 95/04/12,36.3,37.15,36.25,36.5,0,1502
 95/04/13,36.7,37.5,36.7,36.95,0.45,1470
 95/04/14,37.2,37.9,37.05,37.7,0.75,2027
 95/04/17,38.1,38.75,37.9,38.45,0.75,2533
 95/04/18,38.75,38.75,37.6,37.95,-0.5,1427
 95/04/19,38.5,38.8,38.2,38.2,0.25,2023
 95/04/20,38.4,39.5,38.25,39.3,1.1,3027
 95/04/21,39.6,40.4,39.3,39.5,0.2,4025
 95/04/24,39.3,39.3,38.3,38.4,-1.1,1763
 95/04/25,38.4,38.95,37.6,37.7,-0.7,1320
 95/04/26,37.55,38,36.7,37.4,-0.3,3057
 95/04/27,37.6,37.9,36.6,36.6,-0.8,2263
 95/04/28,36.8,37.1,36.2,36.65,0.05,1468
 95/05/02,36.6,37,36.3,36.45,-0.2,945
 95/05/03,36.7,37.3,36.7,36.9,0.45,1307
 95/05/04,37,37.25,36.55,36.9,0,1168
 95/05/05,37,37.95,36.9,37,0.1,2141
 95/05/08,37.5,37.9,37.2,37.5,0.5,1407
 95/05/09,37.45,37.95,37.15,37.35,-0.15,1414
 95/05/10,37.5,37.75,36.8,36.9,-0.45,1240
 95/05/11,36.9,37.3,36.7,36.95,0.05,963
 95/05/12,36.75,36.85,36.3,36.45,-0.5,1039
 95/05/15,36.2,36.65,36.15,36.25,-0.2,976
 95/05/16,36.3,36.35,35.55,35.55,-0.7,1577
 95/05/17,35.9,36.2,35.5,35.8,0.25,857
 95/05/18,35.6,35.8,35.1,35.8,0,1067
 95/05/19,35.7,36.15,35.55,35.8,0,857
 95/05/22,36.1,36.8,36.1,36.2,0.4,1360
 95/05/23,36.2,36.5,36,36.25,0.05,863
 95/05/24,36.5,36.8,35.2,35.5,-0.75,1282
 95/05/25,35.8,36.2,35.6,35.85,0.35,701
 95/05/26,36.1,36.75,35.95,36.75,0.9,925
 95/05/29,37,37.15,36.5,36.5,-0.25,886
 95/05/30,36.8,36.9,36.4,36.5,0,737
 95/06/01,36.3,36.75,35.9,35.95,-0.55,1191
 95/06/02,36.25,36.3,35.65,35.85,-0.1,659
 95/06/05,35.9,36.25,34.5,34.5,-1.35,1163
 95/06/06,34.5,34.6,33.5,33.8,-0.7,1164
 95/06/07,33.9,34.25,33.4,33.5,-0.3,804
 95/06/08,33.5,33.5,31.2,31.3,-2.2,1632
 95/06/09,31.9,32.2,31.1,32.1,0.8,1126
 95/06/12,32,32.1,31.2,32.1,0,709
 95/06/13,32,32,31.3,31.3,-0.8,812
 95/06/14,31.35,31.9,31.35,31.8,0.5,640
 95/06/15,32.2,32.45,31.65,31.75,-0.05,551
 95/06/16,32.9,32.9,32.25,32.8,1.05,896
 95/06/19,33,33.25,32.8,33,0.2,502
 95/06/20,32.8,32.95,30.8,31.5,-1.5,977
 95/06/21,31.5,31.9,31.1,31.3,-0.2,492
 95/06/22,31.6,32.4,31.6,32,0.7,651
 95/06/23,32,32,31.2,31.7,-0.3,588
 95/06/26,31.95,32.25,31.8,32.2,0.5,463
 95/06/27,32.2,33.1,32,32.5,0.3,894
 95/06/28,32.5,32.6,32.1,32.6,0.1,520
 95/06/29,32.7,33.4,32.7,33.05,0.45,942
 95/06/30,33.45,34,33.35,34,0.95,1171
 95/07/03,34,34,33.6,33.8,-0.2,402
 95/07/04,33.9,34.3,33.9,34.15,0.35,716
 95/07/05,34.15,34.45,33.8,34.15,0,769
 95/07/06,34.05,34.75,33.85,34.3,0.15,989
 95/07/07,34.3,34.3,33.85,33.95,-0.35,419
 95/07/10,33.8,34,33.3,33.8,-0.15,363
 95/07/11,33.6,33.95,33.6,33.85,0.05,288
 95/07/12,33.9,34.25,33.3,33.5,-0.35,546
 95/07/13,33.2,33.5,32.65,32.7,-0.8,626
 95/07/14,32.2,32.5,31.85,31.9,-0.8,663
 95/07/17,31.5,31.8,31.2,31.3,-0.6,603
 95/07/18,31.35,32,31.35,32,0.7,351
 95/07/19,32.1,32.6,32,32,0,350
 95/07/20,32.8,32.9,32.5,32.7,0.7,493
 95/07/21,32.5,33.2,32.5,33.1,0.4,532
 95/07/24,32.8,33,32.6,33,-0.1,323
 95/07/25,33.4,33.95,33.4,33.7,0.7,610
 95/07/26,34,34,33.55,33.7,0,381
 95/07/27,36.05,36.05,36,36.05,2.35,1590
 95/07/28,36.6,38.3,36.6,38,1.95,5988
 95/07/31,38.75,39.3,38,38.2,0.2,2782
 95/08/01,38.2,38.2,37.6,37.75,-0.45,1079
 95/08/02,37.75,38.45,37.6,38.05,0.3,1392
 95/08/03,38.8,38.8,37.45,37.5,-0.55,1419
 95/08/04,37.6,38.55,37.5,37.85,0.35,1620
 95/08/07,37.9,38.15,37.3,37.9,0.05,1108
 95/08/08,37.9,38,37.7,37.9,0,810
 95/08/09,37.9,39.35,37.8,39.15,1.25,3789
 95/08/10,39.5,40.7,39.5,40,0.85,5631
 95/08/11,37.4,37.4,36.3,37.2,X0.00,5900
 95/08/14,37.15,37.55,36.7,37.4,0.2,2336
 95/08/15,37.5,37.5,36.6,36.95,-0.45,1646
 95/08/16,37.4,37.6,36.8,37.15,0.2,2701
 95/08/17,37.3,37.45,36.65,37,-0.15,1797
 95/08/18,36.75,37.3,36.75,37.05,0.05,1172
 95/08/21,37,37,35.3,35.3,-1.75,2216
 95/08/22,35.5,37.75,35.3,37.75,2.45,3904
 95/08/23,37.9,38.25,36.85,38.15,0.4,4443
 95/08/24,38.15,39.6,38,38.85,0.7,5371
 95/08/25,39.35,39.7,38.1,38.25,-0.6,2567
 95/08/28,38.5,38.65,37.5,38,-0.25,2091
 95/08/29,39,40.65,38.8,40.65,2.65,7233
 95/08/30,41,42.55,40.85,41.95,1.3,8937
 95/08/31,42.5,42.8,41.5,41.6,-0.35,5817
 95/09/01,41.6,42.6,41.4,42.35,0.75,4183
 95/09/04,42.8,43.2,41.3,41.4,-0.95,4626
 95/09/05,42,42.4,41.3,41.4,0,3457
 95/09/06,41.1,41.8,40.8,40.8,-0.6,2621
 95/09/07,40.5,41.55,40.5,41.35,0.55,2384
 95/09/08,41.35,41.6,40.9,41,-0.35,1370
 95/09/11,41,42.9,41,42.1,1.1,4965
 95/09/12,42.4,42.4,41.4,41.4,-0.7,2471
 95/09/13,42,42.3,41.5,41.75,0.35,2310
 95/09/14,42.2,42.2,40.4,41,-0.75,2438
 95/09/15,41,42,41,42,1,2176
 95/09/18,43,44.9,43,44.9,2.9,3815
 95/09/19,45.4,45.8,44.3,44.45,-0.45,6039
 95/09/20,44.45,44.75,43.8,44.45,0,2144
 95/09/21,44.95,45,43.4,43.7,-0.75,2475
 95/09/22,43.3,44,43.3,43.6,-0.1,1598
 95/09/25,43.6,44.4,43.2,44.4,0.8,1730
 95/09/26,44.7,44.9,43.5,43.5,-0.9,1653
 95/09/27,43.7,44,42.6,43.3,-0.2,1683
 95/09/28,43.3,43.45,40.8,41.4,-1.9,2767
 95/09/29,41,41.4,40.65,40.7,-0.7,1699
 95/10/02,40.7,41.35,40.35,40.7,0,1472
 95/10/03,40.7,41.3,40.5,40.65,-0.05,1839
 95/10/04,40.65,40.85,39.2,39.8,-0.85,2827
 95/10/05,40,42.55,40,42.55,2.75,6064
 95/10/11,42.55,42.55,41.8,42,-0.55,2631
 95/10/12,42,42.8,41.65,41.65,-0.35,1743
 95/10/13,42.15,42.35,41.25,41.25,-0.4,2202
 95/10/14,41.4,42,40.5,40.75,-0.5,1914
 95/10/16,40.7,41.4,40.5,40.75,0,1802
 95/10/17,41,41.3,40.75,40.8,0.05,1290
 95/10/18,40.6,41.4,40.5,41.05,0.25,1330
 95/10/19,40.6,41.1,40.5,40.9,-0.15,1166
 95/10/20,41.25,42.6,41.25,42.1,1.2,3061
 95/10/23,42.4,43,42,42,-0.1,2034
 95/10/24,42.5,43.25,41.8,41.85,-0.15,3419
 95/10/25,42,42.2,41.4,41.5,-0.35,1361
 95/10/26,41.9,42.3,41.55,41.95,0.45,1277
 95/10/27,42.1,42.7,42.1,42.6,0.65,2904
 95/10/30,42.6,43.1,42.45,42.55,-0.05,2018
 95/10/31,43,44.3,43,44.2,1.65,7098
 95/11/01,44.7,46.4,44.3,46.1,1.9,9560
 95/11/02,45.4,46.1,44.65,46,-0.1,5590
 95/11/03,46,46.35,45.1,46,0,4473
 95/11/06,45,46.2,45,46,0,3110
 95/11/07,46.3,49.2,46.3,48.75,2.75,7912
 95/11/08,48.75,49.5,47.8,48.15,-0.6,4125
 95/11/09,48.5,48.7,45.8,46,-2.15,3428
 95/11/10,46.4,47.35,46.4,47.1,1.1,2767
 95/11/13,47.1,47.4,46.35,47.3,0.2,1209
 95/11/14,48,48.35,47.45,48.05,0.75,1958
 95/11/15,48.8,49.8,47.6,47.9,-0.15,3390
 95/11/16,48.5,49.5,48.3,48.7,0.8,3119
 95/11/17,49.5,52.1,49.25,52.1,3.4,5958
 95/11/20,52.5,52.7,50.6,52.2,0.1,5872
 95/11/21,52.5,55.5,52,53.5,1.3,8114
 95/11/22,53.5,55.5,53,53.9,0.4,4762
 95/11/23,53.9,54.9,52.6,52.8,-1.1,3490
 95/11/24,52.8,54.5,52.3,53.6,0.8,3200
 95/11/27,53.7,55,52.6,52.7,-0.9,3622
 95/11/28,52,53.5,52,52.2,-0.5,2387
 95/11/29,52.5,53,50.5,50.8,-1.4,3714
 95/11/30,50,51.2,49.65,50.3,-0.5,4631
 95/12/01,50.3,51.4,49.7,49.8,-0.5,4231
 95/12/04,53.2,53.2,53.2,53.2,3.4,3978
 95/12/05,53.1,53.1,49.8,49.8,-3.4,6551
 95/12/06,50,50.8,49.85,50,0.2,3361
 95/12/07,49.4,49.8,48.05,48.75,-1.25,2858
 95/12/08,48.75,50.7,48.45,49.5,0.75,3054
 95/12/11,49,51,49,50.2,0.7,2264
 95/12/12,50.2,52.5,50.2,51.8,1.6,5777
 95/12/13,52.9,53,51.1,52.3,0.5,3889
 95/12/14,52.7,53.2,51.6,52.5,0.2,3620
 95/12/15,53.7,55.3,53.7,54,1.5,7236
 95/12/18,54.5,55.4,53.6,54.4,0.4,3453
 95/12/19,54.4,54.7,53.2,53.2,-1.2,2698
 95/12/20,53.2,54.3,53.2,53.4,0.2,2348
 95/12/21,53.4,53.9,52.5,52.5,-0.9,2003
 95/12/22,52.3,54.4,52.2,53.5,1,2582
 95/12/25,53.5,57.2,53,57.2,3.7,5687
 95/12/26,58.1,59,56.8,57.2,0,6455
 95/12/27,57.5,59.6,56.9,57.3,0.1,5829
 95/12/28,57,57,55.2,55.9,-1.4,3690
 95/12/29,55.4,56.9,55.4,56.1,0.2,3442
 96/01/02,56,58.4,55.4,56.4,0.3,5288
 96/01/03,56.5,59.3,55.6,57.5,1.1,6639
 96/01/04,57.5,60.4,57.4,59.9,2.4,7478
 96/01/05,59.4,59.4,57.5,58,-1.9,4717
 96/01/08,57,57.6,54,54,-4,6579
 96/01/09,53,54.5,52,53.2,-0.8,7392
 96/01/10,52.5,53.5,52,52.7,-0.5,3652
 96/01/11,52.7,54.8,52.7,54.3,1.6,6320
 96/01/12,54.9,55.3,53.9,55.1,0.8,4357
 96/01/15,55.4,55.9,54,55.2,0.1,4086
 96/01/16,55.2,58.2,54.8,56.3,1.1,7544
 96/01/17,55.7,58.5,55.4,58.4,2.1,7258
 96/01/18,58.4,59.2,57.5,59,0.6,4336
 96/01/19,63,63,57.8,58.1,-0.9,11835
 96/01/22,58,58,56.1,56.5,-1.6,4042
 96/01/23,56.5,57.5,56.4,56.5,0,2747
 96/01/24,57.5,57.7,55.3,56,-0.5,3895
 96/01/25,56.1,57.5,56,56,0,2854
 96/01/26,55.8,56.7,55.5,56,0,1707
 96/01/29,56.3,56.6,53.5,53.8,-2.2,2775
 96/01/30,54.8,54.8,53.4,54,0.2,2408
 96/01/31,54.3,54.9,52.4,52.8,-1.2,2799
 96/02/01,53.6,53.8,52.6,53,0.2,1702
 96/02/02,55.7,56.5,54.6,55.5,2.5,5729
 96/02/05,55.5,55.5,54.7,55,-0.5,1970
 96/02/06,55.8,56.6,55.4,55.4,0.4,2558
 96/02/07,55.6,56.2,55.2,55.2,-0.2,1806
 96/02/08,55.5,56.6,55.2,56,0.8,2935
 96/02/09,56,56.4,55.4,55.4,-0.6,1705
 96/02/12,55.1,56.2,55,55.2,-0.2,2261
 96/02/13,55.9,58,55.6,56.5,1.3,5268
 96/02/14,56.5,57.2,55.8,56.3,-0.2,2672
 96/02/26,57,57.8,55.6,55.8,-0.5,3675
 96/02/27,55,55.8,54.3,55,-0.8,2957
 96/03/01,54,54.7,53.5,53.8,-1.2,3802
 96/03/02,53.8,57.5,53.8,57.2,3.4,6003
 96/03/03,56.2,60.9,56.2,58.7,1.5,12219
 96/03/05,58.6,59.8,55.1,57.5,-1.2,6314
 96/03/06,57.9,61.5,56.8,61.4,3.9,10577
 96/03/07,61.4,65.5,61.4,64.7,3.3,14910
 96/03/08,65.5,67.4,63.8,64.3,-0.4,10052
 96/03/09,64,65.5,63.2,63.2,-1.1,6900
 96/03/12,64,66,64,64.5,1.3,6613
 96/03/13,65.2,66.8,63.8,65.3,0.8,6984
 96/03/14,64,65.6,63.8,64.5,-0.8,4201
 96/03/15,65.2,68.5,65.2,67,2.5,9154
 96/03/16,67,68.1,65.8,65.9,-1.1,4248
 96/03/19,67,67,64.6,64.9,-1,4436
 96/03/20,65.5,65.5,64.2,64.3,-0.6,3030
 96/03/21,64.9,66.5,64.9,65.1,0.8,5883
 96/03/22,66.3,68.5,65.8,67.3,2.2,9043
 96/03/23,67.7,72,67.4,72,4.7,12195
 96/03/26,72.9,73.5,71.2,72.5,0.5,8149
 96/03/27,75.3,77.5,73.6,74,1.5,13931
 96/03/28,74.4,74.4,72.1,74,0,5537
 96/03/29,74.5,76,74.3,74.9,0.9,6889
 96/03/30,75.4,75.5,72.3,72.7,-2.2,6372
 96/04/02,72.7,73.1,70.3,70.7,-2,5550
