ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,24.9,24.9,24.4,24.45,-0.55,4983
 95/01/03,24.5,25,24.4,25,0.55,4765
 95/01/04,25.2,25.3,24.75,25,0,4496
 95/01/05,25,25.15,24.95,25.1,0.1,4719
 95/01/06,25.1,25.35,25.1,25.3,0.2,5968
 95/01/09,25.4,25.8,25.35,25.7,0.4,8182
 95/01/10,26,26.15,25.85,26,0.3,9161
 95/01/11,26,26.1,25.8,26,0,5221
 95/01/12,26,26.15,25.85,26.1,0.1,6635
 95/01/13,26,26.1,25.8,25.85,-0.25,4272
 95/01/16,25.85,25.9,25.8,25.85,0,3386
 95/01/17,25.85,25.85,25.45,25.55,-0.3,4431
 95/01/18,25.5,25.65,25.3,25.5,-0.05,4829
 95/01/19,25.6,26.05,25.45,25.95,0.45,6243
 95/01/20,26.05,26.15,25.95,26.05,0.1,4749
 95/01/23,26.05,26.05,25.95,26,-0.05,3953
 95/01/24,26,26.3,26,26.2,0.2,4433
 95/01/25,26.35,27.05,26.35,27,0.8,12466
 95/02/03,27.8,28.85,27.8,28.8,1.8,25717
 95/02/06,28.9,29.8,28.8,29.7,0.9,24287
 95/02/07,29.65,29.7,29.1,29.4,-0.3,12119
 95/02/08,29.1,29.2,28.4,28.5,-0.9,13576
 95/02/09,28.4,28.45,27.95,28.1,-0.4,9839
 95/02/10,28.1,28.6,28.05,28.15,0.05,8331
 95/02/13,28.15,28.15,27.8,28,-0.15,5357
 95/02/14,28,28.5,28,28.4,0.4,5163
 95/02/15,28.4,28.6,28.25,28.25,-0.15,3780
 95/02/16,28.15,28.5,28.1,28.4,0.15,3888
 95/02/17,28.4,28.5,28.3,28.3,-0.1,3843
 95/02/20,28.35,28.85,28.35,28.85,0.55,6020
 95/02/21,29.2,29.25,28.8,28.8,-0.05,8230
 95/02/22,29.2,29.2,28.3,28.7,-0.1,5879
 95/02/23,28.75,29.15,28.5,28.8,0.1,6671
 95/02/24,28.8,29.1,28.7,29.05,0.25,6039
 95/02/27,29.05,29.55,28.75,29.55,0.5,11327
 95/03/01,29.2,29.7,29.15,29.7,0.15,7280
 95/03/02,29.7,29.7,29.25,29.3,-0.4,4094
 95/03/03,29.5,29.6,28.75,28.8,-0.5,5012
 95/03/06,28.8,29,28.7,28.75,-0.05,2592
 95/03/07,28.8,29.1,28.75,28.8,0.05,4689
 95/03/08,28.8,29.1,28.8,28.95,0.15,5341
 95/03/09,29,29.3,29,29.3,0.35,6148
 95/03/10,29.25,29.3,28.7,28.8,-0.5,4268
 95/03/13,28.8,29.15,28.8,29.05,0.25,2576
 95/03/14,29.1,29.15,28.7,29.15,0.1,3456
 95/03/15,29.15,29.2,28.85,29,-0.15,2339
 95/03/16,29,29.1,28.7,28.85,-0.15,4027
 95/03/17,29.05,29.15,28.95,29.1,0.25,4160
 95/03/20,29.3,29.4,29.1,29.35,0.25,4039
 95/03/21,29.35,29.4,28.9,28.9,-0.45,4443
 95/03/22,28.9,29,28.75,28.85,-0.05,8451
 95/03/23,28.9,28.95,28.8,28.9,0.05,4116
 95/03/24,28.95,29.65,28.95,29.5,0.6,12186
 95/03/27,29.6,30.7,29.6,30.5,1,16725
 95/03/28,30.5,30.55,30.1,30.5,0,8584
 95/03/29,30.5,30.5,30.2,30.3,-0.2,4374
 95/03/30,30.3,30.45,30,30.3,0,6093
 95/03/31,30.3,30.6,30.3,30.4,0.1,5213
 95/04/03,30.45,31.2,30.45,30.95,0.55,8863
 95/04/04,31,31.1,30.75,30.95,0,4927
 95/04/06,31,31.05,30.75,31,0.05,6089
 95/04/07,31,31,30.75,30.9,-0.1,4897
 95/04/10,30.95,31.55,30.9,31.2,0.3,8017
 95/04/11,31.2,31.6,30.95,31.6,0.4,5437
 95/04/12,31.6,31.65,30.95,31.4,-0.2,6482
 95/04/13,31.4,31.75,31.35,31.6,0.2,5225
 95/04/14,31.6,32,31.6,31.95,0.35,5707
 95/04/17,32,33,31.95,32.7,0.75,11216
 95/04/18,32.75,32.8,31.9,32.3,-0.4,7010
 95/04/19,32.6,32.9,32.4,32.5,0.2,6303
 95/04/20,32.5,32.7,32.2,32.2,-0.3,4827
 95/04/21,32.2,32.2,31.5,31.65,-0.55,8117
 95/04/24,31.55,32.05,31.4,31.95,0.3,4831
 95/04/25,32.05,32.9,32.05,32.1,0.15,6164
 95/04/26,32.45,32.6,32.3,32.55,0.45,5310
 95/04/27,32.6,32.65,32.25,32.25,-0.3,4697
 95/04/28,31.9,32,30.55,31.15,-1.1,14587
 95/05/02,31.1,31.2,30.7,31.2,0.05,7292
 95/05/03,31.3,31.6,31.2,31.6,0.4,5343
 95/05/04,31.65,32.4,31.35,32.1,0.5,7241
 95/05/05,32.1,32.4,31.65,32,-0.1,6589
 95/05/08,32.1,32.35,32.05,32.15,0.15,4450
 95/05/09,32.1,32.3,31.65,31.9,-0.25,5372
 95/05/10,31.7,32.1,31.7,32,0.1,4685
 95/05/11,31.7,32.3,31.7,32.25,0.25,5924
 95/05/12,32.25,32.3,31.9,32.25,0,3656
 95/05/15,32,32.05,31.45,31.45,-0.8,9384
 95/05/16,31.4,31.4,30.5,30.6,-0.85,12492
 95/05/17,30.6,31.2,30.55,31.1,0.5,5721
 95/05/18,30.3,30.65,30,30.3,-0.8,11193
 95/05/19,30.3,31.2,30.3,30.6,0.3,5571
 95/05/22,31.15,31.15,30.8,30.85,0.25,5387
 95/05/23,30.7,31,30.4,30.5,-0.35,5823
 95/05/24,30.85,32,30.8,31.65,1.15,10980
 95/05/25,32,32,31,31.5,-0.15,8001
 95/05/26,31.7,31.8,31.4,31.6,0.1,5375
 95/05/29,31.6,31.75,31.2,31.2,-0.4,3700
 95/05/30,31.2,31.3,30.5,30.5,-0.7,5559
 95/06/01,30.8,30.9,30.6,30.8,0.3,4950
 95/06/02,31,31.05,30.6,30.9,0.1,3781
 95/06/05,30.9,31,30.3,30.35,-0.55,5916
 95/06/06,30.3,30.75,30.15,30.6,0.25,5840
 95/06/07,30.6,30.6,30.3,30.5,-0.1,3388
 95/06/08,30.4,30.45,29.9,30,-0.5,9194
 95/06/09,30,30.4,29.9,30.15,0.15,7664
 95/06/12,30.15,30.4,29.9,30.4,0.25,3610
 95/06/13,30.3,30.3,30,30,-0.4,6043
 95/06/14,30,30.1,29.8,29.95,-0.05,6847
 95/06/15,30.05,30.15,29.95,30,0.05,4158
 95/06/16,30.5,30.7,30.2,30.7,0.7,5657
 95/06/19,30.7,31,30.5,31,0.3,3797
 95/06/20,31,31.1,30.5,30.6,-0.4,4556
 95/06/21,30.95,31,30.7,31,0.4,4643
 95/06/22,31.2,31.5,31.1,31.35,0.35,5513
 95/06/23,31.2,31.4,30.9,31.15,-0.2,3264
 95/06/26,31.2,31.75,31.15,31.5,0.35,4485
 95/06/27,31.8,31.8,31.4,31.7,0.2,3875
 95/06/28,31.7,31.9,31.7,31.9,0.2,3848
 95/06/29,32,32.1,31.9,32.1,0.2,5565
