ら戳,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 95/01/02,61.8,61.8,60,61,-1.5,7332
 95/01/03,61,62.9,60.5,62.9,1.9,9088
 95/01/04,63.1,63.4,62,63.4,0.5,7552
 95/01/05,63.4,64,62.6,64,0.6,8353
 95/01/06,64.8,65.5,64.7,65.5,1.5,14651
 95/01/09,66.1,68.4,66.1,68.1,2.6,15937
 95/01/10,68,68,66.2,66.7,-1.4,8708
 95/01/11,66,66,64.1,65.8,-0.9,11716
 95/01/12,66.5,66.5,65.1,65.5,-0.3,7799
 95/01/13,64.8,65,63.8,64.5,-1,7679
 95/01/16,63.8,64.3,63.5,63.9,-0.6,7406
 95/01/17,64.1,65.3,64.1,64.6,0.7,7164
 95/01/18,62,62.7,61.4,61.6,-3,16669
 95/01/19,61.8,63.1,61.3,62,0.4,9694
 95/01/20,63,63,62.1,62.5,0.5,5368
 95/01/23,61.6,62.2,61.4,61.8,-0.7,4836
 95/01/24,61.8,62.6,61.7,61.9,0.1,5564
 95/01/25,63,63.5,62.3,63.5,1.6,7493
 95/02/03,64,64.5,62.3,63.4,-0.1,12790
 95/02/06,63,66.5,61.6,66.5,3.1,9627
 95/02/07,64,65.3,64,65,-1.5,7913
 95/02/08,65,65,63,63.1,-1.9,7357
 95/02/09,64,64.2,62.6,63,-0.1,5935
 95/02/10,63,63.1,62,62.6,-0.4,5888
 95/02/13,62.1,62.7,62,62.4,-0.2,5235
 95/02/14,62,62.3,61.6,62.3,-0.1,9289
 95/02/15,62.5,62.5,61.1,61.3,-1,9427
 95/02/16,61.9,62.9,61.6,62.4,1.1,8388
 95/02/17,62.5,62.9,61.6,61.7,-0.7,6291
 95/02/20,61.5,62.7,61.4,62.7,1,5639
 95/02/21,62.9,63.2,62,62.1,-0.6,6445
 95/02/22,62.4,62.7,61.3,61.9,-0.2,7158
 95/02/23,61.7,61.8,60.5,60.8,-1.1,8750
 95/02/24,60.8,61.3,60.3,61,0.2,6523
 95/02/27,61,61,60.3,60.9,-0.1,7822
 95/03/01,60.3,60.8,59.9,60.4,-0.5,11365
 95/03/02,61.5,62.8,61.5,62.7,2.3,15661
 95/03/03,62.6,62.6,61.4,61.8,-0.9,6793
 95/03/06,61.7,61.7,60.7,60.9,-0.9,6147
 95/03/07,60.9,60.9,60.1,60.1,-0.8,7968
 95/03/08,59.9,60,58.9,59,-1.1,13413
 95/03/09,59,59.9,59,59.8,0.8,5307
 95/03/10,59.8,62.2,59.8,61.4,1.6,12206
 95/03/13,61.4,61.7,60.8,61.4,0,4117
 95/03/14,61,61,59.8,60,-1.4,7785
 95/03/15,61.5,62,60.9,61.1,1.1,6297
 95/03/16,61.5,62,60.5,60.5,-0.6,7326
 95/03/17,60.3,60.9,60,60.7,0.2,7002
 95/03/20,60.7,60.7,60.1,60.2,-0.5,6819
 95/03/21,60,60.8,59.9,60.5,0.3,4825
 95/03/22,60,60.1,59.5,59.6,-0.9,8392
 95/03/23,59.8,60.3,59.2,59.6,0,6072
 95/03/24,59.6,60.2,59.5,59.8,0.2,4627
